source,relation,target
D_06bcab0e,TREATED_BY,T_3f0a3718
D_06bcab0e,TREATED_BY,T_55274f82
D_06bcab0e,TREATED_BY,T_aa678c2e
D_06bcab0e,TREATED_BY,T_1f743a7f
D_06bcab0e,TREATED_BY,T_bf40b6e9
D_06bcab0e,DIAGNOSED_BY,T_1d7e20fa
D_06bcab0e,DIAGNOSED_BY,T_03d49614
D_06bcab0e,HAS_COMPLICATION,C_b286887a
D_f7be490a,HAS_CAUSE,C_2036502b
D_f7be490a,HAS_CAUSE,C_8056293c
D_f7be490a,HAS_CAUSE,C_f9bf7221
D_f7be490a,HAS_CAUSE,C_1c2484de
D_f7be490a,HAS_CAUSE,C_69dadb6a
D_f7be490a,HAS_CAUSE,C_94028faa
D_f7be490a,HAS_CAUSE,C_44849c66
D_f7be490a,HAS_CAUSE,C_b1ffc55f
D_f7be490a,HAS_CAUSE,C_5c2d29b0
D_daa9803a,HAS_SYMPTOM,S_ecf941a9
D_daa9803a,HAS_SYMPTOM,S_e3528a84
D_daa9803a,HAS_SYMPTOM,S_9847c8ae
D_daa9803a,HAS_SYMPTOM,S_1362d6a9
D_daa9803a,HAS_CAUSE,C_e588e4b3
D_daa9803a,HAS_CAUSE,C_c6ec8c1e
D_daa9803a,HAS_CAUSE,C_922c6e81
D_daa9803a,HAS_RISK,R_3596b82c
D_daa9803a,HAS_RISK,R_6c6b7fb6
D_daa9803a,HAS_RISK,R_e752e086
D_daa9803a,TREATED_BY,T_2a709a55
D_daa9803a,DIAGNOSED_BY,T_68fd4632
D_daa9803a,DIAGNOSED_BY,T_06283b3c
D_daa9803a,DIAGNOSED_BY,T_33aa6b67
D_daa9803a,DIAGNOSED_BY,T_6cb9b7df
D_daa9803a,DIAGNOSED_BY,T_373ac481
D_cbf5228b,HAS_SYMPTOM,S_ea55265c
D_cbf5228b,HAS_SYMPTOM,S_ba220f5b
D_cbf5228b,HAS_CAUSE,C_c745ddf0
D_cbf5228b,HAS_CAUSE,C_42546110
D_cbf5228b,HAS_CAUSE,C_af217e0f
D_cbf5228b,HAS_CAUSE,C_de4e4b98
D_cbf5228b,HAS_CAUSE,C_6cf00e85
D_cbf5228b,TREATED_BY,T_5f232fbc
D_cbf5228b,TREATED_BY,T_b25a6678
D_cbf5228b,TREATED_BY,T_080d9834
D_cbf5228b,TREATED_BY,T_9155bec8
D_cbf5228b,TREATED_BY,T_a01e7e85
D_cbf5228b,TREATED_BY,T_c68dd9d5
D_cbf5228b,TREATED_BY,T_b583c19f
D_cbf5228b,TREATED_BY,T_73a1abbc
D_cbf5228b,TREATED_BY,T_797164bd
D_cbf5228b,DIAGNOSED_BY,T_6c5e5ead
D_4535ef53,HAS_CAUSE,C_840df460
D_4535ef53,HAS_CAUSE,C_bf229e40
D_4535ef53,HAS_CAUSE,C_cb833529
D_4535ef53,HAS_CAUSE,C_6fabbcd3
D_4535ef53,HAS_CAUSE,C_cd52279a
D_4535ef53,HAS_CAUSE,C_8c0a2856
D_4535ef53,HAS_CAUSE,C_0102497f
D_4535ef53,TREATED_BY,T_d73c56b3
D_4535ef53,TREATED_BY,T_976b22b6
D_4535ef53,DIAGNOSED_BY,T_472229a0
D_4535ef53,DIAGNOSED_BY,T_c3a73b4f
D_28e31ab4,HAS_CAUSE,C_63b2e952
D_28e31ab4,HAS_CAUSE,C_74d33cec
D_28e31ab4,HAS_CAUSE,C_2cfa5e5c
D_28e31ab4,HAS_CAUSE,C_1792a190
D_28e31ab4,HAS_CAUSE,C_117a3efc
D_28e31ab4,HAS_CAUSE,C_435c5a22
D_28e31ab4,HAS_CAUSE,C_cf410c39
D_28e31ab4,HAS_CAUSE,C_6cf7870f
D_28e31ab4,HAS_CAUSE,C_9f4b9ce4
D_28e31ab4,TREATED_BY,T_ded86947
D_28e31ab4,TREATED_BY,T_e664903c
D_28e31ab4,DIAGNOSED_BY,T_e1b7e2ba
D_28e31ab4,HAS_COMPLICATION,C_002ede00
D_1b2ca419,HAS_SYMPTOM,S_f1fdb548
D_1b2ca419,HAS_SYMPTOM,S_33cbb1dd
D_1b2ca419,HAS_CAUSE,C_2714ef50
D_1b2ca419,HAS_CAUSE,C_4ba4fa40
D_1b2ca419,HAS_CAUSE,C_9ac87a0a
D_1b2ca419,HAS_CAUSE,C_1d92324b
D_1b2ca419,HAS_CAUSE,C_b195b6d4
D_1b2ca419,HAS_CAUSE,C_f00202d5
D_1b2ca419,HAS_CAUSE,C_bb58224b
D_1b2ca419,HAS_CAUSE,C_f86ccb19
D_1b2ca419,HAS_CAUSE,C_841bc2f0
D_1b2ca419,HAS_CAUSE,C_e1460e36
D_1b2ca419,HAS_RISK,R_ab7e0f20
D_1b2ca419,TREATED_BY,T_378dac4d
D_1b2ca419,TREATED_BY,T_b4ba4c06
D_1b2ca419,DIAGNOSED_BY,T_7f7b775e
D_1b2ca419,DIAGNOSED_BY,T_e6c159c7
D_1b2ca419,DIAGNOSED_BY,T_72d15149
D_1b2ca419,DIAGNOSED_BY,T_a7525b12
D_a57b81fe,HAS_SYMPTOM,S_96525661
D_9ba83f74,HAS_SYMPTOM,S_5da7e70c
D_9ba83f74,HAS_SYMPTOM,S_8b1398d4
D_9ba83f74,HAS_SYMPTOM,S_33c69f50
D_9ba83f74,HAS_CAUSE,C_0d268523
D_9ba83f74,HAS_CAUSE,C_154f9f20
D_9ba83f74,HAS_CAUSE,C_abbe5b4e
D_9ba83f74,HAS_CAUSE,C_e8d6564a
D_9ba83f74,HAS_CAUSE,C_d3fce367
D_9ba83f74,HAS_RISK,R_5bae336c
D_9ba83f74,HAS_RISK,R_1f49408d
D_9ba83f74,TREATED_BY,T_41fa0f74
D_9ba83f74,TREATED_BY,T_05856321
D_9ba83f74,TREATED_BY,T_291e3be2
D_9ba83f74,TREATED_BY,T_49071ee7
D_9ba83f74,TREATED_BY,T_e3430de1
D_9ba83f74,TREATED_BY,T_9fba91fa
D_9ba83f74,TREATED_BY,T_51bee6ee
D_9ba83f74,TREATED_BY,T_c736255d
D_9ba83f74,DIAGNOSED_BY,T_f53b023f
D_9ba83f74,DIAGNOSED_BY,T_00adb86f
D_9ba83f74,DIAGNOSED_BY,T_579effa5
D_9ba83f74,DIAGNOSED_BY,T_5134bf56
D_9ba83f74,PREVENTED_BY,P_a0155ef1
D_9ba83f74,PREVENTED_BY,P_647bc26b
D_3a6b2715,HAS_SYMPTOM,S_a66463fa
D_3a6b2715,HAS_SYMPTOM,S_bbc62bf0
D_3a6b2715,HAS_SYMPTOM,S_7e8c5f1d
D_3a6b2715,HAS_SYMPTOM,S_472761eb
D_3a6b2715,HAS_SYMPTOM,S_7d99dbde
D_3a6b2715,HAS_SYMPTOM,S_26d66630
D_3a6b2715,HAS_SYMPTOM,S_ad2a6715
D_3a6b2715,HAS_CAUSE,C_b08cee22
D_3a6b2715,HAS_CAUSE,C_e04bff76
D_3a6b2715,HAS_CAUSE,C_31d96544
D_3a6b2715,HAS_CAUSE,C_00e273a1
D_3a6b2715,HAS_CAUSE,C_9dd25386
D_3a6b2715,HAS_CAUSE,C_4046528a
D_3a6b2715,HAS_CAUSE,C_927a0b11
D_3a6b2715,HAS_CAUSE,C_e8c72041
D_3a6b2715,HAS_CAUSE,C_05bcd5b3
D_3a6b2715,HAS_CAUSE,C_ce897e74
D_3a6b2715,HAS_CAUSE,C_a13a2635
D_3a6b2715,HAS_CAUSE,C_333daa84
D_3a6b2715,HAS_CAUSE,C_fef5fe72
D_3a6b2715,HAS_CAUSE,C_ae01cda8
D_3a6b2715,HAS_CAUSE,C_20a7c8c5
